date,channel_id,views,likes,comments,shares,subscribers_gained,estimated_revenue,avg_view_pct,avg_view_duration
2026-07-08,UC0GVHmLgrxE2SS8F0C19JVg,407,5,0,0,1,0.383,36.4,161.9
2026-07-08,UC2IjY1Gm6b7pYp-vMJ2R9ig,2,0,0,0,0,0.0,10.73,37.0
2026-07-08,UC77WdDKy6cbCxZkC46eaudA,28114,423,37,106,72,38.181,17.68,132.83
2026-07-08,UC8Fm-ogvMehvbgF0BJjKiuQ,14273,-130,0,0,0,2.537,428.8,573.46
2026-07-08,UC8gDq5ENmiVuJZIVsiZbQ8g,3066,48,3,0,15,0.0,50.27,37.26
2026-07-08,UCAkSxwl8Lbk2hBXAAfsEFTA,4580305,30520,784,3532,11336,10083.602,16.58,180.22
2026-07-08,UCHONLLEtQ4f9yoqa1BWlhSg,16,0,0,0,5,0.018,7.27,32.06
2026-07-08,UCIg97fCjw1HnS8vPqwiHLGA,151,0,0,0,0,0.003,80.23,15.0
2026-07-08,UCL_RZ1IidYQkVQxfimfnPSQ,398745,1029,0,49,337,35.295,91.4,24.19
2026-07-08,UCMGKZD9ggu_Pfo4dkL47cXQ,3921323,21030,260,2601,10155,5766.473,18.94,165.0
2026-07-08,UCSlOhfr5f-RPRP50yRri1uA,2,0,0,0,0,0.0,10.22,11.5
2026-07-08,UCZem4a64VnhfA4CBw9vM2bg,9710,155,2,7,13,13.996,51.88,142.89
2026-07-08,UCbnCFV5_c-nGiEQN1anEO5A,9,0,0,0,0,0.003,3.05,25.0
2026-07-08,UCc-V01UlW1n8eGLpATLA5gw,25791,234,4,2,51,0.0,48.39,104.79
2026-07-08,UCctSzoeee7KCnR84dZ6IO7w,1683,14,0,0,4,2.513,13.35,214.49
2026-07-08,UCk2O5vfW3c_W5YWQ_BoD1Ug,2445,48,0,5,4,0.245,53.56,81.0
2026-07-08,UCsbnInDepLdq6o781WVZ-5g,202,1,0,0,0,0.083,10.17,165.0
2026-07-08,UCvfQU0Npb-ve-LxUlaAN1GA,12044,309,6,2,41,0.0,51.74,66.67
2026-07-08,UCxfDVRNK6SoN59v_t3ZJ33A,0,0,0,0,0,0.0,0.0,0.0
2026-07-09,UC01rTYtA_UsuZ5wzxnyHFcg,574,5,0,0,1,0.0,19.75,200.0
2026-07-09,UC0GVHmLgrxE2SS8F0C19JVg,61,0,0,0,0,0.009,125.43,7.0
2026-07-09,UC2IjY1Gm6b7pYp-vMJ2R9ig,1633,7,0,4,4,0.57,10.67,158.49
2026-07-09,UC3WZLJlwYaCEurdUywF8ibg,12161,68,1,12,50,0.0,17.98,275.21
2026-07-09,UC77WdDKy6cbCxZkC46eaudA,2634,0,0,0,0,2.197,4.66,54.93
