video_id,channel_id,views,likes,comments,shares,subscribers_gained,estimated_revenue,avg_view_pct,avg_view_duration
-0F4cn5oZZQ,UCJw9px5fOp-nwJG6g4gN1ng,175,0,0,0,0,0.023,72.85,22.89
-0nBpc1Gq8Q,UCJyOxDvifY5Xw18aNm_I8YQ,9,0,0,0,0,0.0,7.03,5.56
-218aQbDvhg,UCMGKZD9ggu_Pfo4dkL47cXQ,664,2,0,0,0,0.123,11.24,155.39
-267H9fLNjY,UCxfDVRNK6SoN59v_t3ZJ33A,219,2,0,1,0,0.008,35.1,20.56
-3XkRvaShmU,UCMGKZD9ggu_Pfo4dkL47cXQ,558,4,0,2,0,0.083,63.46,29.25
-4SRM80WHfc,UCZFs3JqsRIqtqYgo4HahDUQ,72,0,0,0,0,0.04,4.25,194.92
-55Crnk6epw,UCAkSxwl8Lbk2hBXAAfsEFTA,98,0,0,0,0,0.081,2.31,92.71
-5Vg_5EEwJU,UCTqUiADoXl9Cq74vCP4FJCQ,4,0,0,0,0,0.0,11.03,7.0
-6aK9w5sDfs,UC8Fm-ogvMehvbgF0BJjKiuQ,739,12,0,0,1,0.088,105.27,27.12
-7lBZ7exTRo,UC0GVHmLgrxE2SS8F0C19JVg,7,0,0,0,0,0.004,32.19,11.71
-8Gw09RGVKA,UCSlOhfr5f-RPRP50yRri1uA,82,0,0,0,0,0.003,32.53,17.66
-8ij4oFUFrI,UCSlOhfr5f-RPRP50yRri1uA,10,0,0,0,0,0.0,0.0,0.0
-8k4kEEwt4Y,UCZem4a64VnhfA4CBw9vM2bg,458,13,0,0,0,0.049,67.98,19.55
-9Oey6T_LbA,UCEFB0gMdnD1NyiZaedHg2hQ,1036,6,0,2,2,2.38,8.85,326.69
-9oIZVzJqd0,UC82nFsZOjs5Tr96upPPq9Ww,2,0,0,0,0,0.0,0.0,0.0
-9ptkDhfkTE,UCTGoaBFABIBLXcqXzCM5D3A,26,0,0,0,0,0.0,32.7,19.0
-AE0sup_XCg,UCIg97fCjw1HnS8vPqwiHLGA,1,0,0,0,0,0.0,5.15,10.0
-AZMzeq743o,UCSlOhfr5f-RPRP50yRri1uA,11388,26,2,8,2,20.801,3.18,120.23
-AkWNEW33gE,UCMGKZD9ggu_Pfo4dkL47cXQ,17075,323,2,4,29,2.354,93.51,23.94
-BoeJgqJJkI,UC3o699rmxlcc6EJzt6emA-Q,1134,22,0,0,2,0.0,70.18,41.61
-CdqGfMVVrA,UCJw9px5fOp-nwJG6g4gN1ng,133,1,0,1,0,0.01,92.1,26.01
-DB3iM7EIrU,UCxhHKduxLRNAOC_GUHPPf1Q,1,0,0,0,0,0.0,0.0,0.0
-E7cVIudODE,UCSlOhfr5f-RPRP50yRri1uA,81,0,0,0,0,0.0,25.1,5.78
-FqcZDBzmO4,UCmhHN34V-dphAOk3RXxjb0g,1295,9,0,0,0,0.033,73.57,15.57
-I5slg5ASr0,UCT7ZxKrKqxBvAODr8h_ODkA,26,0,0,0,0,0.033,23.38,424.92
-IhugA9_XmU,UCT7ZxKrKqxBvAODr8h_ODkA,19,1,0,0,0,0.009,8.02,133.42
-Il3AJd_1cM,UCc-V01UlW1n8eGLpATLA5gw,132,2,0,0,1,0.007,5.45,100.18
-JBEt1apfio,UCJw9px5fOp-nwJG6g4gN1ng,1581,10,0,0,0,0.159,58.45,17.0
-Jd6FqE02h0,UC82nFsZOjs5Tr96upPPq9Ww,1,0,0,0,0,0.001,95.5,57.0
-K6JsGEkE6o,UCc-V01UlW1n8eGLpATLA5gw,5669,47,0,3,28,10.589,3.14,219.41
-K6zRwTBBEk,UCm3RYOItKT_P0-oRCkkSMZw,9960,115,0,8,92,1.843,24.32,162.09
-K7w8_Fe1bM,UCl_Nqhf2SGNwv4uvbvs3upg,124,1,0,0,0,0.011,54.99,17.0
-KC80CughEA,UCIg97fCjw1HnS8vPqwiHLGA,44,1,0,0,0,0.01,9.34,192.07
-KzOzf0Bboc,UC3o699rmxlcc6EJzt6emA-Q,68,0,0,0,0,0.0,48.43,28.0
-MYxfCirqEQ,UCnwjt6PgkKuZC4S1A0yTOFQ,44,2,0,0,0,0.008,73.15,24.0
-MuLdRnNS2Y,UCeVTtB1kN607CxFrFkiqjgQ,3016,64,1,2,0,0.418,58.23,35.61
-NFuHDp4KTk,UCxxl4xdZZqRSSz2VfnFBhwA,1,0,0,0,0,0.0,20.89,35.0
-NxB5Tr_ono,UC2IjY1Gm6b7pYp-vMJ2R9ig,2,0,0,0,0,0.023,51.02,862.0
-OJ2hK-fiGg,UCT7ZxKrKqxBvAODr8h_ODkA,34,1,0,0,0,0.0,48.45,27.74
-OOV-cvl9PA,UC49-b-BhbYoG54YNkwmzg8w,3,0,0,0,0,0.0,0.0,0.0
-Ob_ETbQ2XA,UCTqUiADoXl9Cq74vCP4FJCQ,487,1,0,0,1,0.0,22.71,17.06
-PffjcL9dVQ,UCk2O5vfW3c_W5YWQ_BoD1Ug,1016,8,0,0,4,1.649,12.13,241.18
-R1EZiofJQk,UCNkelFxYeQTdVdBzl3yaliw,472,5,0,0,2,0.0,17.81,314.55
-RDb_4rGj6g,UC8Fm-ogvMehvbgF0BJjKiuQ,6,0,0,0,0,0.001,50.4,14.67
-Si7SOO1UXY,UCxxl4xdZZqRSSz2VfnFBhwA,2,0,0,0,0,0.0,2.38,34.0
-UEpkycS9b4,UC8gDq5ENmiVuJZIVsiZbQ8g,2635,5,0,1,2,2.977,1.37,99.16
-UGYYtSINKE,UCvfQU0Npb-ve-LxUlaAN1GA,2,0,0,0,0,0.0,0.0,0.0
-UX_7NLMOSQ,UCqbTAXnwXspcNb7l3UqrOHQ,576,5,0,0,0,0.0,97.57,27.65
-Ue47qAMn1Y,UCIg97fCjw1HnS8vPqwiHLGA,1,0,0,0,0,0.0,0.0,0.0
-Ustu9Ze4NY,UCEFB0gMdnD1NyiZaedHg2hQ,426,4,0,1,2,0.041,70.94,31.72
-VGotTivHGs,UC77WdDKy6cbCxZkC46eaudA,2,0,0,0,0,0.0,0.97,11.0
-VGqf4duhbE,UCT7ZxKrKqxBvAODr8h_ODkA,31,1,0,0,0,0.017,8.53,204.74
-WFt-5pVYr4,UCJw9px5fOp-nwJG6g4gN1ng,2368,31,0,0,2,0.171,60.2,15.0
-XKqnOURVwY,UCsbnInDepLdq6o781WVZ-5g,14,0,0,0,0,0.002,5.42,93.79
-XMMLR2ZBP0,UCk2O5vfW3c_W5YWQ_BoD1Ug,357,4,0,1,0,0.016,58.58,54.99
-_PInlWYlC8,UC0GVHmLgrxE2SS8F0C19JVg,305,0,0,0,0,0.368,24.32,125.93
-bOH4f5cde8,UCTqUiADoXl9Cq74vCP4FJCQ,1251,2,0,0,1,0.0,0.99,63.06
-bQx5_wB86c,UCf3lAEw_WPtcgHMUVAunzSw,1,0,0,0,0,0.001,11.17,13.0
-bdn8fhRYxA,UC2IjY1Gm6b7pYp-vMJ2R9ig,8,0,0,0,0,0.024,5.79,68.0
-bezYbUC5gE,UCm3RYOItKT_P0-oRCkkSMZw,3,0,0,0,0,0.0,5.78,149.33
-c77uUxAAsc,UCl_Nqhf2SGNwv4uvbvs3upg,121,0,0,0,0,0.003,59.31,21.0
-dZgGd0mtv8,UCTqUiADoXl9Cq74vCP4FJCQ,41,1,0,0,0,0.0,41.66,23.8
-fUAhdfvrLs,UCxfDVRNK6SoN59v_t3ZJ33A,12,0,0,0,0,0.0,53.09,41.33
-fV7fDEgqUs,UCl_Nqhf2SGNwv4uvbvs3upg,1966,10,0,2,2,0.044,66.65,25.38
-h9aXXFUyjk,UCsbnInDepLdq6o781WVZ-5g,98,3,0,0,1,0.013,88.0,29.06
-hgUCww3IsE,UCJw9px5fOp-nwJG6g4gN1ng,576,9,0,0,0,0.068,97.54,11.37
-hkRCkYB2qs,UCxxl4xdZZqRSSz2VfnFBhwA,11,0,0,0,0,0.057,26.99,515.18
-ibzDzPTtzY,UCMGKZD9ggu_Pfo4dkL47cXQ,133,1,0,1,0,0.03,194.21,54.22
-jMXRUczy2M,UC8Fm-ogvMehvbgF0BJjKiuQ,42,0,0,0,0,0.002,50.83,35.0
-kPK6KHT5jU,UCl_Nqhf2SGNwv4uvbvs3upg,726,0,0,0,0,0.017,24.0,14.44
-lqCXJSiocE,UCXJiqB85OD4gnutvJ-gKHsg,2,0,0,0,0,0.0,0.0,0.0
-mKFkm6BKzA,UChhBhc7qJ42rgzAIPe9z6Cg,1,0,0,0,0,0.0,0.0,0.0
-o7j4MQNQts,UCMGKZD9ggu_Pfo4dkL47cXQ,341,4,0,2,0,0.072,66.08,25.66
-oUA3DjAreU,UCOfo1ycUYYsMkBRS56TSo3Q,4103,19,0,0,4,0.0,69.32,21.29
-p4_LlThN-M,UCeVTtB1kN607CxFrFkiqjgQ,916,3,0,0,3,3.14,10.93,238.81
-ptgZM-ir7w,UCHONLLEtQ4f9yoqa1BWlhSg,2,0,0,0,0,0.0,0.0,0.0
-qs089ADM4s,UCAkSxwl8Lbk2hBXAAfsEFTA,3,1,0,0,0,0.004,2.15,34.0
-rzmh__q3XQ,UCp013Ih_EWf3SXO8F4ftIwQ,563,4,0,0,0,0.0,71.62,15.57
-sDMBSWhXPk,UCk2O5vfW3c_W5YWQ_BoD1Ug,402,7,0,0,0,0.018,62.77,20.54
-sNaUMEC9cU,UC2IjY1Gm6b7pYp-vMJ2R9ig,74,1,0,0,0,0.081,12.14,136.84
-sP_VejZ8Zk,UC2jHP3YhgMucr6UlgFzRhbA,7422,6,0,2,3,15.808,2.34,163.2
-sPy0gdL4Bw,UCAkSxwl8Lbk2hBXAAfsEFTA,5,1,0,0,0,0.02,4.48,283.6
-seqgqN8qdQ,UC2jHP3YhgMucr6UlgFzRhbA,778,0,0,0,0,0.011,20.82,8.6
-spD5cgdPZE,UC82nFsZOjs5Tr96upPPq9Ww,16,-1,0,0,0,0.005,5.23,117.5
-uzoEDOD_-o,UCdtOFTQ1GVPKzvOYsi1ApIw,1,0,0,0,0,0.0,42.29,35.0
-vStD0wYCAY,UCk2O5vfW3c_W5YWQ_BoD1Ug,322,2,0,0,0,0.015,39.49,27.01
-vrnPhZO-U8,UCAkSxwl8Lbk2hBXAAfsEFTA,860,6,0,1,0,2.318,6.77,442.86
-xhmxf_K_u0,UCSlOhfr5f-RPRP50yRri1uA,5,0,0,0,0,0.004,0.59,5.0
-xko3x4_Dnw,UCxfDVRNK6SoN59v_t3ZJ33A,9,0,0,0,0,0.0,5.12,3.89
-y_YyvYVBRM,UCMGKZD9ggu_Pfo4dkL47cXQ,59,0,0,0,0,0.015,46.1,51.22
-zDwEVDa_NE,UCeVTtB1kN607CxFrFkiqjgQ,10,0,0,0,0,0.0,21.84,15.5
-zPibGyjRp0,UChhBhc7qJ42rgzAIPe9z6Cg,2,0,0,0,0,0.0,0.53,8.0
-zidlRhcorY,UCOfo1ycUYYsMkBRS56TSo3Q,2726,19,0,0,0,0.0,64.58,20.0
0-0FbguVf2o,UCxfDVRNK6SoN59v_t3ZJ33A,8,0,0,0,0,0.0,1.95,12.0
00GxC2piorI,UCm3RYOItKT_P0-oRCkkSMZw,41,0,0,0,0,0.0,67.33,11.07
01biphHBKv0,UCeVTtB1kN607CxFrFkiqjgQ,1,0,0,0,0,0.0,1.4,30.0
01t07NBcylY,UC77WdDKy6cbCxZkC46eaudA,1,0,0,0,0,0.0,0.19,3.0
02IT1SRBKAA,UCdtOFTQ1GVPKzvOYsi1ApIw,2,0,0,0,0,0.012,11.79,252.5
02vzpQK4B7o,UCsbnInDepLdq6o781WVZ-5g,25,0,0,0,0,0.007,12.65,182.4
03AfjJFBIYs,UCnwjt6PgkKuZC4S1A0yTOFQ,42,0,0,0,0,0.003,64.78,18.0
03hk6UK36G4,UCm3RYOItKT_P0-oRCkkSMZw,20,0,0,0,0,0.0,58.8,8.9
03wdugxfo8Y,UCdtOFTQ1GVPKzvOYsi1ApIw,9,0,0,0,0,0.001,63.25,36.0
04dEUsUn96U,UCc-V01UlW1n8eGLpATLA5gw,994,5,1,3,3,1.16,4.89,124.1
04xYRUri3fI,UCkIOcyGqKTJMIIyFHJunYDA,277,0,0,0,0,0.003,56.9,12.75
05dDfDVQa8o,UC49-b-BhbYoG54YNkwmzg8w,11,1,0,0,0,0.002,49.9,51.0
06hSihF9sO0,UCJw9px5fOp-nwJG6g4gN1ng,394,2,0,0,0,0.032,77.0,18.92
09a7k4YHN7A,UC0GVHmLgrxE2SS8F0C19JVg,376,1,0,3,1,0.65,16.71,218.52
09mKfwFBa4c,UCT7ZxKrKqxBvAODr8h_ODkA,1989,26,0,0,2,0.759,18.74,268.0
0AIoJ3cfLI4,UC2jHP3YhgMucr6UlgFzRhbA,48096,329,0,0,0,3.097,44.0,13.03
0CDKrtAqleY,UCbnCFV5_c-nGiEQN1anEO5A,11,0,0,0,0,0.001,3.42,46.36
0CUIppkuiDw,UCZem4a64VnhfA4CBw9vM2bg,581,17,0,0,1,0.082,57.95,24.37
0EtHNQBu7zk,UCXJiqB85OD4gnutvJ-gKHsg,7,0,0,0,0,0.001,15.87,9.0
0FEBDBgdj84,UCxxl4xdZZqRSSz2VfnFBhwA,5,0,0,0,0,0.001,48.07,22.4
0FTbqn-2RCE,UCxhHKduxLRNAOC_GUHPPf1Q,1,0,0,0,0,0.0,0.0,0.0
